key scientificName decimalLatitude decimalLongitude issues
3383892068 Polyommatus_coridon_(Poda_1761) 50.90385 -0.111453 cdround
3383896096 Polyommatus_coridon_(Poda_1761) 50.737976 0.25101 cdround
3383904003 Polyommatus_coridon_(Poda_1761) 51.955597 -0.371865 cdround
3383910039 Polyommatus_coridon_(Poda_1761) 51.661523 -0.950557 cdround
3383910085 Polyommatus_coridon_(Poda_1761) 51.140768 1.373461 cdround
3383922008 Polyommatus_coridon_(Poda_1761) 51.892651 -0.565258 cdround
3383956124 Polyommatus_coridon_(Poda_1761) 51.682328 -2.371978 cdround
3384000420 Polyommatus_coridon_(Poda_1761) 50.671777 -1.117964 cdround
3384058449 Polyommatus_coridon_(Poda_1761) 50.671234 -1.119418 cdround
3384074390 Polyommatus_coridon_(Poda_1761) 50.671362 -1.119418 cdround
3384100161 Polyommatus_coridon_(Poda_1761) 50.658423 -1.409326 cdround
3384255443 Polyommatus_coridon_(Poda_1761) 50.671685 -1.117701 cdround
3384271402 Polyommatus_coridon_(Poda_1761) 50.671688 -1.118972 cdround
3384276130 Polyommatus_coridon_(Poda_1761) 50.659964 -1.415618 cdround
3384279142 Polyommatus_coridon_(Poda_1761) 50.659461 -1.411841 cdround
3384302149 Polyommatus_coridon_(Poda_1761) 50.665595 -1.100954 cdround
3384326968 Polyommatus_coridon_(Poda_1761) 51.842693 -2.105047 cdround
3384407027 Polyommatus_coridon_(Poda_1761) 51.953822 -0.370393 cdround
3384440349 Polyommatus_coridon_(Poda_1761) 50.671423 -1.119391 cdround
3384512374 Polyommatus_coridon_(Poda_1761) 50.671501 -1.11725 cdround
3384607037 Polyommatus_coridon_(Poda_1761) 51.662187 -0.95167 cdround
3384617055 Polyommatus_coridon_(Poda_1761) 51.892486 -0.565133 cdround
3384627062 Polyommatus_coridon_(Poda_1761) 51.892513 -0.564721 cdround
3384644119 Polyommatus_coridon_(Poda_1761) 51.682594 -2.371872 cdround
3384647070 Polyommatus_coridon_(Poda_1761) 51.911695 -2.017433 cdround
3384649007 Polyommatus_coridon_(Poda_1761) 50.892547 -0.831983 cdround
3384659023 Polyommatus_coridon_(Poda_1761) 51.661429 -0.950296 cdround
3384660051 Polyommatus_coridon_(Poda_1761) 50.892486 -0.831956 cdround
